Date : 2026-05-31 09:16:57
Directory : /home/developer/projects/open-navigator
Total : 1886 files,  -6270 codes, -2355 comments, -1547 blanks, all -10172 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| scripts/notebooks                                                                                                                                        |          1 |         76 |        168 |         64 |        308 |
| scripts/visualization                                                                                                                                    |          2 |        235 |        165 |         37 |        437 |
| tests                                                                                                                                                    |          7 |          0 |          5 |         -8 |         -3 |
| visualization                                                                                                                                            |          2 |       -235 |       -165 |        -37 |       -437 |
| web_app                                                                                                                                                  |        304 |    150,869 |      2,591 |     23,737 |    177,197 |
| web_app (Files)                                                                                                                                          |         10 |      6,182 |         17 |         66 |      6,265 |
| web_app/.vite                                                                                                                                            |          2 |         11 |          0 |          1 |         12 |
| web_app/.vite/deps                                                                                                                                       |          2 |         11 |          0 |          1 |         12 |
| web_app/policy-dashboards                                                                                                                                |         25 |     22,111 |        191 |        299 |     22,601 |
| web_app/policy-dashboards (Files)                                                                                                                        |          3 |     17,667 |          0 |         80 |     17,747 |
| web_app/policy-dashboards/public                                                                                                                         |          2 |         30 |          5 |          6 |         41 |
| web_app/policy-dashboards/src                                                                                                                            |         20 |      4,414 |        186 |        213 |      4,813 |
| web_app/policy-dashboards/src (Files)                                                                                                                    |          3 |      1,313 |         30 |         57 |      1,400 |
| web_app/policy-dashboards/src/components                                                                                                                 |         17 |      3,101 |        156 |        156 |      3,413 |
| web_app/policy-dashboards/src/components (Files)                                                                                                         |         10 |      2,353 |        112 |        112 |      2,577 |
| web_app/policy-dashboards/src/components/shared                                                                                                          |          7 |        748 |         44 |         44 |        836 |
